order_id,order_date,customer_id,customer_segment,product_id,category,sub_category,quantity,unit_price,unit_cost,discount_pct,gross_amount,discount_amount,net_revenue,profit,payment_method,marketing_channel,shipping_mode,shipping_cost,delivery_days,country,region,city,is_returned
ORD300592,12-01-2024,C50056,Consumer,P8007,Fashion,Footwear,1,78.86,31.13,0.1,78.86,7.89,70.97,39.84,Digital Wallet,Paid Search,Standard,3.99,8,United Kingdom,Scotland,Edinburgh,FALSE
ORD300372,12-01-2024,C50034,Consumer,P8684,Electronics,Laptops,1,203.62,150,0.05,203.62,10.18,193.44,43.44,Cash on Delivery,Organic Search,Standard,3.99,6,United States,South,Atlanta,FALSE
ORD300203,13-01-2024,C50182,Consumer,P5870,Electronics,Cameras,1,45.66,36,0,45.66,0,45.66,9.66,Credit Card,Paid Search,Express,9.99,4,United Kingdom,England,London,TRUE
ORD300963,13-01-2024,C50264,Home Office,P1744,Beauty,Skincare,1,92.83,37.48,0,92.83,0,92.83,55.35,PayPal,Social,Standard,3.99,8,United States,Central,Kansas City,FALSE
ORD300251,13-01-2024,C50218,Home Office,P3708,Beauty,Fragrance,2,35.29,12.59,0.05,70.58,3.53,67.05,41.87,Digital Wallet,Direct,Standard,3.99,8,United States,East,New York,FALSE
ORD300847,13-01-2024,C50054,Corporate,P2795,Home & Kitchen,Cookware,1,512.41,317.09,0,512.41,0,512.41,195.32,Cash on Delivery,Direct,Standard,3.99,7,Germany,Hesse,Wiesbaden,FALSE
ORD300462,13-01-2024,C50325,Home Office,P4656,Home & Kitchen,Appliances,2,36.96,18.97,0,73.92,0,73.92,35.98,Credit Card,Direct,Express,9.99,2,India,East,Bhubaneswar,FALSE
ORD300109,14-01-2024,C50242,Consumer,P7946,Beauty,Fragrance,1,74.27,27.59,0,74.27,0,74.27,46.68,Debit Card,Organic Search,Standard,3.99,7,India,South,Chennai,FALSE
ORD300156,15-01-2024,C50208,Consumer,P1867,Electronics,Smartphones,1,84.15,72.95,0,84.15,0,84.15,11.2,Credit Card,Paid Search,Same-Day,19.99,1,United States,South,Atlanta,FALSE
ORD300329,15-01-2024,C50051,Corporate,P9413,Sports,Fitness,2,72.02,50.6,0,144.04,0,144.04,42.84,Cash on Delivery,Social,Standard,3.99,4,United States,Central,Kansas City,FALSE
ORD300696,15-01-2024,C50151,Consumer,P7413,Home & Kitchen,Furniture,1,47.63,26.72,0.2,47.63,9.53,38.1,11.38,Cash on Delivery,Paid Search,Standard,3.99,7,India,South,Chennai,FALSE
ORD300873,15-01-2024,C50134,Home Office,P6682,Sports,Outdoor,3,363.84,208.95,0.3,1091.52,327.46,764.06,137.21,PayPal,Direct,Standard,3.99,6,India,West,Pune,FALSE
ORD300810,16-01-2024,C50191,Consumer,P6784,Beauty,Fragrance,1,24.09,10.23,0,24.09,0,24.09,13.86,PayPal,Email,Same-Day,19.99,0,India,East,Bhubaneswar,FALSE
ORD300268,18-01-2024,C50272,Corporate,P6111,Fashion,Men's Apparel,3,25.06,10.45,0,75.18,0,75.18,43.83,Debit Card,Organic Search,Same-Day,19.99,1,United States,West,San Francisco,FALSE
ORD300751,19-01-2024,C50338,Consumer,P2054,Fashion,Women's Apparel,1,18.22,9.96,0,18.22,0,18.22,8.26,Credit Card,Organic Search,Standard,3.99,5,United States,East,Boston,FALSE
ORD300347,19-01-2024,C50071,Consumer,P9575,Electronics,Accessories,2,184.85,138.26,0,369.7,0,369.7,93.18,Credit Card,Organic Search,Express,9.99,3,Australia,NSW,Sydney,FALSE
ORD300849,22-01-2024,C50225,Corporate,P1902,Electronics,Cameras,4,520.7,418.99,0.1,2082.8,208.28,1874.52,198.56,Credit Card,Affiliate,Express,9.99,4,Australia,Queensland,Brisbane,FALSE
ORD300907,23-01-2024,C50008,Home Office,P5560,Electronics,Headphones,1,441.69,342.37,0,441.69,0,441.69,99.32,Credit Card,Email,Same-Day,19.99,0,United States,West,San Francisco,TRUE
ORD300016,24-01-2024,C50133,Consumer,P9095,Fashion,Men's Apparel,1,51.56,25.19,0,51.56,0,51.56,26.37,Credit Card,Organic Search,Standard,3.99,4,United Kingdom,Wales,Swansea,FALSE
ORD300917,28-01-2024,C50326,Consumer,P1652,Electronics,Accessories,3,188.53,141.02,0.2,565.59,113.12,452.47,29.41,Debit Card,Affiliate,Standard,3.99,7,United Kingdom,Scotland,Edinburgh,FALSE
ORD300444,28-01-2024,C50237,Consumer,P2960,Beauty,Fragrance,1,110.72,44.49,0,110.72,0,110.72,66.23,Debit Card,Email,Standard,3.99,7,Australia,Queensland,Gold Coast,FALSE
ORD300003,28-01-2024,C50201,Consumer,P2286,Home & Kitchen,Cookware,2,267.43,166.5,0.1,534.86,53.49,481.37,148.37,Credit Card,Affiliate,Standard,3.99,8,United Kingdom,England,London,FALSE
ORD300355,29-01-2024,C50204,Consumer,P7449,Fashion,Men's Apparel,1,60.34,22.09,0.1,60.34,6.03,54.31,32.22,Digital Wallet,Organic Search,Standard,3.99,8,India,West,Mumbai,FALSE
ORD300609,29-01-2024,C50203,Consumer,P8302,Home & Kitchen,Appliances,3,882.67,526.54,0,2648.01,0,2648.01,1068.39,Debit Card,Organic Search,Standard,3.99,6,United Kingdom,England,Manchester,FALSE
ORD300351,01-02-2024,C50244,Consumer,P2632,Electronics,Accessories,1,66.79,54.97,0.2,66.79,13.36,53.43,-1.54,Credit Card,Affiliate,Standard,3.99,5,United States,West,Denver,FALSE
ORD300780,01-02-2024,C50109,Consumer,P2508,Fashion,Bags,1,147.97,73.76,0,147.97,0,147.97,74.21,Credit Card,Direct,Same-Day,19.99,1,India,South,Bengaluru,TRUE
ORD300718,03-02-2024,C50326,Consumer,P7323,Fashion,Bags,1,22,11.19,0,22,0,22,10.81,Debit Card,Organic Search,Standard,3.99,6,United Kingdom,Scotland,Edinburgh,FALSE
ORD300338,04-02-2024,C50085,Consumer,P8345,Fashion,Bags,1,167.83,79.69,0,167.83,0,167.83,88.14,Credit Card,Direct,Standard,3.99,8,Australia,Victoria,Melbourne,TRUE
ORD300434,04-02-2024,C50242,Consumer,P7298,Sports,Outdoor,2,199.39,114.2,0.05,398.78,19.94,378.84,150.44,PayPal,Organic Search,Standard,3.99,8,India,South,Chennai,FALSE
ORD300080,07-02-2024,C50089,Consumer,P6748,Beauty,Makeup,4,13.33,4.86,0.15,53.32,8,45.32,25.88,PayPal,Email,Standard,3.99,5,India,South,Bengaluru,FALSE
ORD300337,07-02-2024,C50322,Consumer,P9302,Fashion,Footwear,2,78.11,37.17,0.1,156.22,15.62,140.6,66.26,PayPal,Organic Search,Standard,3.99,6,United Kingdom,England,London,FALSE
ORD300083,08-02-2024,C50274,Corporate,P8104,Fashion,Footwear,2,46.87,21.21,0,93.74,0,93.74,51.32,Credit Card,Paid Search,Express,9.99,2,United States,Central,Chicago,FALSE
ORD300429,10-02-2024,C50014,Consumer,P4081,Beauty,Skincare,2,30.54,12.58,0.15,61.08,9.16,51.92,26.76,Debit Card,Direct,Standard,3.99,6,India,East,Kolkata,FALSE
ORD300827,11-02-2024,C50037,Consumer,P7592,Electronics,Headphones,2,650.34,551.62,0,1300.68,0,1300.68,197.44,Credit Card,Affiliate,Express,9.99,4,United States,Central,Kansas City,FALSE
ORD300913,11-02-2024,C50175,Corporate,P2634,Sports,Cycling,1,51.78,32.17,0,51.78,0,51.78,19.61,Credit Card,Direct,Standard,3.99,7,India,South,Bengaluru,FALSE
ORD300194,12-02-2024,C50090,Consumer,P8635,Home & Kitchen,Cookware,1,157.35,90.75,0.15,157.35,23.6,133.75,43,Digital Wallet,Social,Same-Day,19.99,1,India,West,Pune,FALSE
ORD300465,12-02-2024,C50042,Consumer,P8072,Electronics,Accessories,1,508.48,361.14,0.05,508.48,25.42,483.06,121.92,Credit Card,Affiliate,Express,9.99,2,United States,Central,Chicago,FALSE
ORD300320,13-02-2024,C50271,Consumer,P6693,Electronics,Headphones,1,548.36,421.67,0.05,548.36,27.42,520.94,99.27,Credit Card,Email,Standard,3.99,5,United States,South,Austin,FALSE
ORD300897,16-02-2024,C50044,Home Office,P7932,Fashion,Women's Apparel,1,14.04,5.84,0.3,14.04,4.21,9.83,3.99,Debit Card,Organic Search,Standard,3.99,6,Germany,Bavaria,Nuremberg,FALSE
ORD300986,17-02-2024,C50270,Consumer,P5288,Books,Fiction,2,8.28,4.68,0.05,16.56,0.83,15.73,6.37,Digital Wallet,Paid Search,Standard,3.99,5,India,East,Kolkata,FALSE
ORD300343,18-02-2024,C50189,Consumer,P5785,Fashion,Bags,1,18.51,8.38,0,18.51,0,18.51,10.13,Credit Card,Direct,Standard,3.99,6,India,West,Pune,FALSE
ORD300348,18-02-2024,C50187,Consumer,P9904,Beauty,Skincare,1,86.73,37.49,0.05,86.73,4.34,82.39,44.9,Credit Card,Paid Search,Standard,3.99,5,Germany,Hesse,Wiesbaden,FALSE
ORD300944,19-02-2024,C50070,Corporate,P6099,Beauty,Makeup,2,10.07,4.08,0.15,20.14,3.02,17.12,8.96,Debit Card,Email,Standard,3.99,7,United States,West,Seattle,FALSE
ORD300228,19-02-2024,C50259,Corporate,P8961,Fashion,Bags,1,47.53,22.35,0.15,47.53,7.13,40.4,18.05,Digital Wallet,Direct,Express,9.99,3,India,North,Jaipur,FALSE
ORD300624,19-02-2024,C50188,Corporate,P8709,Fashion,Bags,3,16.92,7.99,0.15,50.76,7.61,43.15,19.18,Credit Card,Organic Search,Express,9.99,3,United States,West,San Francisco,FALSE
ORD300514,19-02-2024,C50102,Corporate,P9084,Beauty,Fragrance,1,31.75,9.8,0,31.75,0,31.75,21.95,Cash on Delivery,Social,Express,9.99,2,Germany,Bavaria,Nuremberg,FALSE
ORD300184,23-02-2024,C50141,Consumer,P2894,Electronics,Cameras,1,251.22,223.81,0,251.22,0,251.22,27.41,Credit Card,Social,Standard,3.99,4,United States,East,New York,FALSE
ORD300712,23-02-2024,C50310,Consumer,P3477,Fashion,Women's Apparel,2,245.63,103.29,0,491.26,0,491.26,284.68,Credit Card,Social,Express,9.99,2,United Kingdom,England,Manchester,FALSE
ORD300458,23-02-2024,C50238,Consumer,P9416,Home & Kitchen,Appliances,2,164.85,93.52,0,329.7,0,329.7,142.66,Credit Card,Direct,Standard,3.99,4,Germany,Berlin,Berlin,FALSE
ORD300769,25-02-2024,C50180,Consumer,P9668,Fashion,Bags,3,42.99,17.54,0,128.97,0,128.97,76.35,Credit Card,Organic Search,Same-Day,19.99,0,India,South,Chennai,FALSE
ORD300188,26-02-2024,C50188,Corporate,P9702,Fashion,Women's Apparel,1,226.03,106.47,0,226.03,0,226.03,119.56,Debit Card,Paid Search,Standard,3.99,8,United States,West,San Francisco,FALSE
ORD300611,27-02-2024,C50257,Consumer,P7845,Home & Kitchen,Decor,2,41.91,23.52,0.15,83.82,12.57,71.25,24.21,Debit Card,Social,Same-Day,19.99,0,United States,South,Austin,FALSE
ORD300246,01-03-2024,C50311,Consumer,P7425,Fashion,Women's Apparel,1,95.38,42.16,0.15,95.38,14.31,81.07,38.91,Digital Wallet,Direct,Express,9.99,2,United States,Central,Chicago,FALSE
ORD300499,01-03-2024,C50277,Home Office,P2704,Beauty,Makeup,1,15.4,4.73,0,15.4,0,15.4,10.67,Debit Card,Organic Search,Standard,3.99,7,Germany,Hesse,Frankfurt,FALSE
ORD300245,02-03-2024,C50298,Consumer,P5340,Beauty,Fragrance,1,19.38,7.2,0,19.38,0,19.38,12.18,Debit Card,Affiliate,Standard,3.99,6,India,North,Delhi,FALSE
ORD300281,04-03-2024,C50244,Consumer,P7530,Fashion,Women's Apparel,1,16.5,7.84,0,16.5,0,16.5,8.66,Cash on Delivery,Direct,Standard,3.99,7,United States,West,Denver,FALSE
ORD300896,04-03-2024,C50319,Consumer,P4371,Fashion,Bags,1,64.96,29.53,0,64.96,0,64.96,35.43,PayPal,Organic Search,Express,9.99,3,United Kingdom,Wales,Cardiff,TRUE
ORD300642,05-03-2024,C50138,Corporate,P2937,Fashion,Men's Apparel,1,37.67,20.06,0,37.67,0,37.67,17.61,Credit Card,Paid Search,Express,9.99,4,United States,East,Boston,FALSE
ORD300359,06-03-2024,C50248,Home Office,P9109,Home & Kitchen,Furniture,1,341.75,222.12,0.2,341.75,68.35,273.4,51.28,PayPal,Paid Search,Standard,3.99,7,United Kingdom,Wales,Swansea,FALSE
ORD300876,06-03-2024,C50059,Consumer,P9445,Electronics,Headphones,1,190.18,143.81,0,190.18,0,190.18,46.37,Cash on Delivery,Affiliate,Standard,3.99,7,India,West,Pune,FALSE
ORD300317,06-03-2024,C50093,Consumer,P7203,Home & Kitchen,Decor,4,29.38,18.89,0,117.52,0,117.52,41.96,Credit Card,Direct,Standard,3.99,5,United Kingdom,England,London,FALSE
ORD300445,07-03-2024,C50245,Consumer,P8476,Beauty,Fragrance,5,77.96,26.95,0,389.8,0,389.8,255.05,Debit Card,Organic Search,Standard,3.99,8,India,South,Bengaluru,FALSE
ORD300639,07-03-2024,C50030,Consumer,P6598,Beauty,Makeup,3,16.99,7.67,0.15,50.97,7.65,43.32,20.31,PayPal,Paid Search,Standard,3.99,6,Australia,Queensland,Brisbane,FALSE
ORD300272,07-03-2024,C50231,Consumer,P6935,Sports,Outdoor,1,275.38,169.43,0.4,275.38,110.15,165.23,-4.2,Credit Card,Direct,Same-Day,19.99,1,United Kingdom,Wales,Cardiff,FALSE
ORD300842,09-03-2024,C50017,Consumer,P7584,Electronics,Headphones,1,172.31,134.37,0,172.31,0,172.31,37.94,Credit Card,Social,Standard,3.99,5,United States,West,Denver,FALSE
ORD300951,10-03-2024,C50221,Consumer,P9316,Home & Kitchen,Cookware,1,30.58,17.95,0,30.58,0,30.58,12.63,Debit Card,Paid Search,Standard,3.99,5,Australia,NSW,Sydney,FALSE
ORD300095,10-03-2024,C50185,Corporate,P4341,Electronics,Headphones,1,687.3,585.98,0,687.3,0,687.3,101.32,PayPal,Email,Standard,3.99,8,Germany,Hesse,Frankfurt,FALSE
ORD300587,11-03-2024,C50062,Consumer,P2494,Electronics,Smartphones,1,179.46,142.69,0.05,179.46,8.97,170.49,27.8,Debit Card,Organic Search,Standard,3.99,5,United States,West,San Francisco,FALSE
ORD300400,11-03-2024,C50052,Consumer,P5738,Fashion,Women's Apparel,2,205.05,72.14,0.15,410.1,61.52,348.58,204.3,Credit Card,Paid Search,Express,9.99,4,India,West,Pune,FALSE
ORD300936,11-03-2024,C50281,Home Office,P3383,Electronics,Accessories,1,78.73,69.15,0,78.73,0,78.73,9.58,Credit Card,Organic Search,Express,9.99,4,United States,South,Atlanta,FALSE
ORD300255,11-03-2024,C50150,Consumer,P2973,Electronics,Accessories,1,86.58,74.28,0,86.58,0,86.58,12.3,Digital Wallet,Paid Search,Standard,3.99,6,Germany,Berlin,Berlin,FALSE
ORD300908,12-03-2024,C50205,Corporate,P9682,Beauty,Fragrance,1,47.61,17.81,0,47.61,0,47.61,29.8,Credit Card,Social,Standard,3.99,7,United States,East,New York,FALSE
ORD300650,13-03-2024,C50009,Corporate,P3532,Home & Kitchen,Decor,1,25.14,14.03,0,25.14,0,25.14,11.11,Credit Card,Social,Standard,3.99,5,United States,East,Boston,FALSE
ORD300221,14-03-2024,C50025,Consumer,P1138,Beauty,Makeup,2,125.17,41.23,0.05,250.34,12.52,237.82,155.36,Credit Card,Email,Express,9.99,3,United States,East,Boston,FALSE
ORD300381,14-03-2024,C50055,Consumer,P8428,Home & Kitchen,Cookware,2,32.92,20.09,0.05,65.84,3.29,62.55,22.37,Credit Card,Organic Search,Standard,3.99,5,India,West,Pune,FALSE
ORD300126,14-03-2024,C50148,Corporate,P5263,Electronics,Laptops,1,62.94,43.45,0,62.94,0,62.94,19.49,Digital Wallet,Email,Standard,3.99,6,United States,Central,Kansas City,FALSE
ORD300903,15-03-2024,C50067,Consumer,P7842,Home & Kitchen,Furniture,1,84.08,49.74,0,84.08,0,84.08,34.34,Debit Card,Social,Standard,3.99,8,Australia,Victoria,Melbourne,FALSE
ORD300872,15-03-2024,C50279,Consumer,P8117,Electronics,Laptops,2,151.2,125.87,0,302.4,0,302.4,50.66,Digital Wallet,Direct,Standard,3.99,8,United States,East,Boston,FALSE
ORD300090,16-03-2024,C50245,Consumer,P8401,Home & Kitchen,Appliances,1,45.2,25.14,0.1,45.2,4.52,40.68,15.54,Credit Card,Organic Search,Standard,3.99,8,India,South,Bengaluru,FALSE
ORD300113,17-03-2024,C50208,Consumer,P2719,Home & Kitchen,Decor,1,243.4,155.02,0,243.4,0,243.4,88.38,Cash on Delivery,Affiliate,Standard,3.99,8,United States,South,Atlanta,FALSE
ORD300900,18-03-2024,C50192,Consumer,P1163,Home & Kitchen,Appliances,1,204.31,128.02,0,204.31,0,204.31,76.29,Cash on Delivery,Direct,Standard,3.99,8,India,South,Chennai,FALSE
ORD300041,20-03-2024,C50117,Consumer,P6065,Fashion,Bags,1,92.17,45.3,0.2,92.17,18.43,73.74,28.44,Debit Card,Paid Search,Standard,3.99,4,Australia,Victoria,Melbourne,FALSE
ORD300168,21-03-2024,C50080,Consumer,P9698,Home & Kitchen,Furniture,3,424.14,245.83,0.1,1272.42,127.24,1145.18,407.69,Credit Card,Organic Search,Standard,3.99,5,India,South,Bengaluru,FALSE
ORD300744,24-03-2024,C50252,Home Office,P3109,Electronics,Laptops,1,391.3,322.97,0,391.3,0,391.3,68.33,Credit Card,Paid Search,Express,9.99,2,United States,East,Boston,FALSE
ORD300674,24-03-2024,C50149,Consumer,P5814,Fashion,Men's Apparel,2,59.15,34.44,0,118.3,0,118.3,49.42,Cash on Delivery,Organic Search,Standard,3.99,5,United States,East,New York,FALSE
ORD300395,25-03-2024,C50135,Home Office,P4405,Electronics,Cameras,2,864.93,695.91,0.4,1729.86,691.94,1037.92,-353.9,Credit Card,Organic Search,Standard,3.99,5,Germany,Berlin,Berlin,FALSE
ORD300558,26-03-2024,C50126,Consumer,P9734,Books,Children's,1,5.42,4.21,0,5.42,0,5.42,1.21,Credit Card,Organic Search,Standard,3.99,8,United States,West,Denver,FALSE
ORD300667,27-03-2024,C50117,Consumer,P1279,Fashion,Men's Apparel,1,255.46,125.46,0,255.46,0,255.46,130,Digital Wallet,Social,Standard,3.99,8,Australia,Victoria,Melbourne,FALSE
ORD300877,27-03-2024,C50300,Consumer,P2313,Beauty,Makeup,1,118.97,48.37,0,118.97,0,118.97,70.6,Debit Card,Paid Search,Standard,3.99,5,United States,East,Boston,FALSE
ORD300886,27-03-2024,C50095,Corporate,P3026,Beauty,Fragrance,1,63.21,24.95,0,63.21,0,63.21,38.26,Digital Wallet,Organic Search,Standard,3.99,7,Germany,Bavaria,Munich,FALSE
ORD300289,27-03-2024,C50055,Consumer,P3808,Electronics,Laptops,1,242.36,190.11,0,242.36,0,242.36,52.25,PayPal,Affiliate,Standard,3.99,7,India,West,Pune,FALSE
ORD300596,28-03-2024,C50229,Home Office,P8709,Electronics,Headphones,3,27.66,21.74,0.2,82.98,16.6,66.38,1.16,PayPal,Email,Express,9.99,4,United States,Central,Chicago,FALSE
ORD300144,29-03-2024,C50000,Consumer,P2920,Beauty,Fragrance,1,29.67,11.06,0,29.67,0,29.67,18.61,Debit Card,Paid Search,Standard,3.99,4,United Kingdom,England,London,FALSE
ORD300539,29-03-2024,C50243,Corporate,P8984,Books,Fiction,1,30.45,23.09,0,30.45,0,30.45,7.36,Cash on Delivery,Organic Search,Standard,3.99,6,United States,Central,Chicago,FALSE
ORD300135,30-03-2024,C50036,Corporate,P3918,Electronics,Laptops,4,830.3,566.44,0,3321.2,0,3321.2,1055.44,Debit Card,Direct,Same-Day,19.99,1,United States,South,Austin,FALSE
ORD300998,31-03-2024,C50030,Consumer,P5432,Fashion,Men's Apparel,1,35.61,19.49,0.15,35.61,5.34,30.27,10.78,Digital Wallet,Email,Same-Day,19.99,1,Australia,Queensland,Brisbane,FALSE
ORD300748,01-04-2024,C50134,Home Office,P1768,Sports,Fitness,1,438.88,251.31,0,438.88,0,438.88,187.57,Cash on Delivery,Direct,Standard,3.99,4,India,West,Pune,FALSE
ORD300488,01-04-2024,C50184,Home Office,P3355,Electronics,Accessories,1,25.95,20.87,0.05,25.95,1.3,24.65,3.78,Credit Card,Organic Search,Standard,3.99,4,United States,West,San Francisco,FALSE
ORD300332,04-04-2024,C50212,Consumer,P2266,Books,Fiction,2,10.32,6.47,0,20.64,0,20.64,7.7,Digital Wallet,Email,Express,9.99,4,United States,West,Denver,TRUE
ORD300521,05-04-2024,C50324,Consumer,P2877,Sports,Cycling,1,29.08,21.38,0,29.08,0,29.08,7.7,Debit Card,Email,Standard,3.99,6,United States,South,Atlanta,FALSE
ORD300186,06-04-2024,C50161,Corporate,P1602,Electronics,Accessories,2,32.03,27.53,0,64.06,0,64.06,9,Debit Card,Affiliate,Express,9.99,3,United Kingdom,Wales,Swansea,FALSE
ORD300235,07-04-2024,C50186,Corporate,P8790,Sports,Fitness,3,89.04,55.56,0,267.12,0,267.12,100.44,Credit Card,Email,Standard,3.99,7,United Kingdom,Scotland,Glasgow,FALSE
ORD300919,07-04-2024,C50117,Consumer,P5025,Sports,Outdoor,5,481.22,239.81,0.1,2406.1,240.61,2165.49,966.44,Credit Card,Social,Standard,3.99,7,Australia,Victoria,Melbourne,FALSE
ORD300207,07-04-2024,C50096,Corporate,P3644,Electronics,Cameras,1,483.73,340.24,0,483.73,0,483.73,143.49,Debit Card,Paid Search,Standard,3.99,4,United Kingdom,Wales,Swansea,FALSE
ORD300806,08-04-2024,C50151,Consumer,P9157,Sports,Outdoor,3,532.01,366.25,0.05,1596.03,79.8,1516.23,417.48,Credit Card,Social,Standard,3.99,8,India,South,Chennai,FALSE
ORD300211,08-04-2024,C50286,Consumer,P1709,Fashion,Men's Apparel,1,65.85,29.13,0.05,65.85,3.29,62.56,33.43,Credit Card,Organic Search,Standard,3.99,8,United States,Central,Kansas City,FALSE
ORD300138,09-04-2024,C50006,Consumer,P7889,Beauty,Skincare,2,30.4,13.16,0.2,60.8,12.16,48.64,22.32,Digital Wallet,Social,Express,9.99,2,Australia,NSW,Sydney,FALSE
ORD300533,12-04-2024,C50082,Home Office,P7358,Electronics,Cameras,3,178.99,135.86,0,536.97,0,536.97,129.39,Cash on Delivery,Paid Search,Standard,3.99,7,United States,East,New York,FALSE
ORD300575,12-04-2024,C50300,Consumer,P8543,Home & Kitchen,Cookware,1,78.45,47.3,0,78.45,0,78.45,31.15,Credit Card,Affiliate,Standard,3.99,5,United States,East,Boston,FALSE
ORD300561,13-04-2024,C50146,Corporate,P1147,Sports,Fitness,4,16.28,11.71,0,65.12,0,65.12,18.28,Credit Card,Paid Search,Standard,3.99,7,Germany,Berlin,Berlin,TRUE
ORD300622,16-04-2024,C50048,Consumer,P9945,Home & Kitchen,Decor,1,64.79,39.68,0,64.79,0,64.79,25.11,Credit Card,Direct,Standard,3.99,6,India,North,Jaipur,FALSE
ORD300843,18-04-2024,C50220,Home Office,P6002,Books,Children's,1,5.17,3.24,0,5.17,0,5.17,1.93,Debit Card,Paid Search,Standard,3.99,7,India,West,Mumbai,FALSE
ORD300768,19-04-2024,C50207,Consumer,P4119,Beauty,Makeup,2,132.68,58.25,0.3,265.36,79.61,185.75,69.25,Digital Wallet,Organic Search,Standard,3.99,6,United States,South,Atlanta,FALSE
ORD300551,19-04-2024,C50049,Home Office,P8493,Beauty,Fragrance,1,32.21,12.65,0,32.21,0,32.21,19.56,Credit Card,Social,Standard,3.99,5,India,North,Delhi,FALSE
ORD300983,20-04-2024,C50047,Consumer,P4131,Electronics,Accessories,1,28.04,21.84,0,28.04,0,28.04,6.2,Debit Card,Paid Search,Standard,3.99,6,India,North,Delhi,FALSE
ORD300894,21-04-2024,C50159,Corporate,P6759,Fashion,Women's Apparel,2,69.92,32.52,0.15,139.84,20.98,118.86,53.82,PayPal,Organic Search,Standard,3.99,8,India,West,Pune,FALSE
ORD300076,21-04-2024,C50093,Consumer,P9807,Beauty,Skincare,1,8.38,4.09,0,8.38,0,8.38,4.29,Debit Card,Paid Search,Standard,3.99,7,United Kingdom,England,London,FALSE
ORD300087,22-04-2024,C50225,Corporate,P5319,Books,Non-fiction,1,12.74,9.59,0,12.74,0,12.74,3.15,PayPal,Social,Standard,3.99,5,Australia,Queensland,Brisbane,FALSE
ORD300979,22-04-2024,C50281,Home Office,P2348,Beauty,Makeup,1,9.09,3.9,0,9.09,0,9.09,5.19,Debit Card,Paid Search,Standard,3.99,7,United States,South,Atlanta,TRUE
ORD300189,23-04-2024,C50292,Home Office,P5997,Electronics,Smartphones,2,1551.84,1186.12,0.1,3103.68,310.37,2793.31,421.07,Cash on Delivery,Paid Search,Standard,3.99,4,United States,Central,Kansas City,FALSE
ORD300474,23-04-2024,C50269,Consumer,P4925,Sports,Outdoor,1,32.38,19.54,0,32.38,0,32.38,12.84,Credit Card,Social,Standard,3.99,8,United Kingdom,Scotland,Glasgow,FALSE
ORD300397,25-04-2024,C50015,Corporate,P1324,Books,Children's,1,10.56,6.84,0,10.56,0,10.56,3.72,Credit Card,Organic Search,Standard,3.99,8,United States,West,San Francisco,FALSE
ORD300227,28-04-2024,C50053,Consumer,P5579,Beauty,Makeup,2,37.94,16.09,0,75.88,0,75.88,43.7,Cash on Delivery,Organic Search,Standard,3.99,8,India,South,Bengaluru,FALSE
ORD300048,28-04-2024,C50098,Consumer,P2075,Fashion,Footwear,1,122.6,64.5,0,122.6,0,122.6,58.1,Credit Card,Organic Search,Same-Day,19.99,0,United States,West,San Francisco,TRUE
